,cbo_name,activities,City,HTC,language_string,lang_count,language
166,Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other",lang2,Farsi
169,"Southland Integrated Services, Inc.","Posting information sheet on VACF Facebook Page, Sending out Mailchimp to subscribers, Distribution of Census flyers and promotional items in care packages, One-on-one assistance on the phone; promotion on the phone and outreach items included in care packages, Distribution of Census flyers and promotiona; items in food assistance packages",Fountain Valley,"Born Outside of U.S., Limited English Speaking Ability","Vietnamese, Spanish, Other",lang2,Spanish
170,The Cambodian Family,booths,Fountain Valley,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Khmer, Vietnamese",lang2,Vietnamese
171,Access California Services,Friday Prayer,Fullerton,Born Outside of U.S.,"Arabic, Farsi",lang2,Farsi
172,CAIR-LA,"event, flyers, Census swag bags provided to 125 individuals at ICNA weekly food pantry",Fullerton,"Born Outside of U.S., Limited English Speaking Ability, Children Under 5","Farsi, Arabic, Hindi, Spanish, Other",lang2,Arabic
176,KCS,"Tabling flyers and Q&A, education_forum",Fullerton,"Born Outside of U.S., Limited English Speaking Ability","Spanish, Korean",lang2,Korean
181,Boys & Girls Clubs of Garden Grove,"flyers, Supply distribution, Facebook post, speaking_engagement",Garden Grove,"Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese, Other",lang2,Vietnamese
182,CAIR-LA,flyers,Garden Grove,Born Outside of U.S.,"Arabic, Hindi",lang2,Hindi
187,OCAPICA,"curriculum, AAPI CBO coalition, meeting, nudgealert, phone_banking, AAPIphany, speaking_engagement, training_delivery, webinar",Garden Grove,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Khmer, Korean, Punjabi, Vietnamese",lang2,Khmer
189,"Southland Integrated Services, Inc.","Facebook-Social media post, monthly community educational seminar, tutorial census form training",Garden Grove,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Vietnamese, Armenian, Spanish, Tagalog",lang2,Armenian
190,AltaMed,"advertising, form_filling_assistance, QAC engagements - no assist, qac",Huntington Beach,Born Outside of U.S.,"Spanish, Other",lang2,Other
194,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang2,Cantonese
195,CAIR-LA,event,Irvine,Born Outside of U.S.,"Arabic, Farsi, Other",lang2,Farsi
197,Council on Americans Islamic Relations,Friday Prayer,Irvine,Born Outside of U.S.,"Arabic, Farsi, Other",lang2,Farsi
198,Jamboree Housing Corporation,"advertising, collateral, flyers, phone_banking",Irvine,,"Arabic, Farsi, Spanish",lang2,Farsi
202,Orange County United Way,,Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Min Nan Chinese, Spanish",lang2,Farsi
211,Orange County United Way,event,Newport Beach,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Other",lang2,Other
212,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang2,Spanish
214,CAIR-LA,"Social media and email blast, Friday prayer annoucement, TEXTBANKING*, phone_banking, Social media and newsletter",Orange,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Armenian, Farsi, Filipino, Hindi, Spanish, Other",lang2,Armenian
216,CAP OC,"collateral, text banking, flyers, phone_banking",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Korean, Spanish, Tagalog, Vietnamese",lang2,Korean
223,KCS,Social Media Post,Orange,Born Outside of U.S.,"Chinese, Korean, Vietnamese",lang2,Korean
225,OC Human Relations,"Posters at Food Trucks, Organizational website Slider, Banners at Schools, Banners at Churches, Videos and Post in several languages",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Arabic, Korean, Spanish",lang2,Korean
227,Orange County United Way,flyers,Orange,Limited English Speaking Ability,"Spanish, Other",lang2,Other
229,"Southland Integrated Services, Inc.",phone banking-calling individual homes,Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese",lang2,Vietnamese
237,Jamboree Housing Corporation,,San Clemente,,"russian, Spanish",lang2,Spanish
239,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang2,Chinese
241,CAP OC,"collateral, qac",Santa Ana,Children Under 5,"Filipino, Spanish, Vietnamese",lang2,Spanish
242,Catholic Charities of Orange County,"advertising, event",Santa Ana,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Korean, Spanish, Vietnamese",lang2,Spanish
251,OC Human Relations,"T-Shirts/Bags distribution, canvassing, phone_banking",Santa Ana,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese",lang2,Vietnamese
253,OCCCO,"Immaculate Heart of Mary Church Ministry Visits, Ministry Annoucnments at IHMs Faith Groups, Episcopalian Mass, Announcents and distribution of flyers and direct conversations with Spanish-speaking Latinos, QAC, announcements, flyer distributions, and direct conversation with Spanish-speaking community, Announcements, flyer distributions, and direct conversation with Spanish-speaking community,1-1 conversations with Orange County friends, family, and resgistered voters",Santa Ana,Born Outside of U.S.,"Spanish, Other",lang2,Other
255,Orange County United Way,"booths, event",Santa Ana,,"Spanish, Vietnamese, Other",lang2,Vietnamese
256,Project Access,"Food Bank Distribution, phone calls to residents",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Spanish, Other",lang2,Other
258,The Cambodian Family,"advertising, Social Media Post, booths, canvassing, Class, Food Drive, form_filling_assistance, phone_banking, Stigma Arts Class, webinar, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Khmer, Spanish, Vietnamese",lang2,Spanish
263,AASCSC,nudgealert,Westminster,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Other",lang2,Chinese
267,MOMS Orange County,education_forum,Westminster,,"Spanish, Vietnamese",lang2,Vietnamese
269,Orange County United Way,event,Westminster,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Farsi, russian, Spanish, Vietnamese, Other",lang2,russian
273,CAIR-LA,"event, flyers",Anaheim,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Hindi, Farsi, Other",lang3,Farsi
283,OCCCO,"Facebook post, Census information was distributed at a food distribution center at St. Boniface address, Announcements and information table, event, Mass texting to hard to count census tracts in Santa ana",Anaheim,,"Spanish, Vietnamese, Other",lang3,Other
284,Orange County United Way,"event, speaking_engagement",Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","russian, Spanish, Vietnamese, Other",lang3,Vietnamese
296,AASCSC,booths,Costa Mesa,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Min Nan Chinese, Other",lang3,Mandarin
301,Orange County United Way,event,Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Filipino, Spanish, Other",lang3,Spanish
302,Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other",lang3,Hindi
305,"Southland Integrated Services, Inc.","Posting information sheet on VACF Facebook Page, Sending out Mailchimp to subscribers, Distribution of Census flyers and promotional items in care packages, One-on-one assistance on the phone; promotion on the phone and outreach items included in care packages, Distribution of Census flyers and promotiona; items in food assistance packages",Fountain Valley,"Born Outside of U.S., Limited English Speaking Ability","Vietnamese, Spanish, Other",lang3,Other
308,CAIR-LA,"event, flyers, Census swag bags provided to 125 individuals at ICNA weekly food pantry",Fullerton,"Born Outside of U.S., Limited English Speaking Ability, Children Under 5","Farsi, Arabic, Hindi, Spanish, Other",lang3,Hindi
317,Boys & Girls Clubs of Garden Grove,"flyers, Supply distribution, Facebook post, speaking_engagement",Garden Grove,"Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese, Other",lang3,Other
323,OCAPICA,"curriculum, AAPI CBO coalition, meeting, nudgealert, phone_banking, AAPIphany, speaking_engagement, training_delivery, webinar",Garden Grove,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Khmer, Korean, Punjabi, Vietnamese",lang3,Korean
325,"Southland Integrated Services, Inc.","Facebook-Social media post, monthly community educational seminar, tutorial census form training",Garden Grove,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Vietnamese, Armenian, Spanish, Tagalog",lang3,Spanish
330,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang3,Chinese
331,CAIR-LA,event,Irvine,Born Outside of U.S.,"Arabic, Farsi, Other",lang3,Other
333,Council on Americans Islamic Relations,Friday Prayer,Irvine,Born Outside of U.S.,"Arabic, Farsi, Other",lang3,Other
334,Jamboree Housing Corporation,"advertising, collateral, flyers, phone_banking",Irvine,,"Arabic, Farsi, Spanish",lang3,Spanish
338,Orange County United Way,,Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Min Nan Chinese, Spanish",lang3,Min Nan Chinese
348,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang3,Vietnamese
350,CAIR-LA,"Social media and email blast, Friday prayer annoucement, TEXTBANKING*, phone_banking, Social media and newsletter",Orange,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Armenian, Farsi, Filipino, Hindi, Spanish, Other",lang3,Farsi
352,CAP OC,"collateral, text banking, flyers, phone_banking",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Korean, Spanish, Tagalog, Vietnamese",lang3,Spanish
359,KCS,Social Media Post,Orange,Born Outside of U.S.,"Chinese, Korean, Vietnamese",lang3,Vietnamese
361,OC Human Relations,"Posters at Food Trucks, Organizational website Slider, Banners at Schools, Banners at Churches, Videos and Post in several languages",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Arabic, Korean, Spanish",lang3,Spanish
375,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang3,Filipino
377,CAP OC,"collateral, qac",Santa Ana,Children Under 5,"Filipino, Spanish, Vietnamese",lang3,Vietnamese
378,Catholic Charities of Orange County,"advertising, event",Santa Ana,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Korean, Spanish, Vietnamese",lang3,Vietnamese
391,Orange County United Way,"booths, event",Santa Ana,,"Spanish, Vietnamese, Other",lang3,Other
394,The Cambodian Family,"advertising, Social Media Post, booths, canvassing, Class, Food Drive, form_filling_assistance, phone_banking, Stigma Arts Class, webinar, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Khmer, Spanish, Vietnamese",lang3,Vietnamese
399,AASCSC,nudgealert,Westminster,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Other",lang3,Mandarin
405,Orange County United Way,event,Westminster,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Farsi, russian, Spanish, Vietnamese, Other",lang3,Spanish
409,CAIR-LA,"event, flyers",Anaheim,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Hindi, Farsi, Other",lang4,Other
420,Orange County United Way,"event, speaking_engagement",Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","russian, Spanish, Vietnamese, Other",lang4,Other
432,AASCSC,booths,Costa Mesa,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Min Nan Chinese, Other",lang4,Min Nan Chinese
437,Orange County United Way,event,Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Filipino, Spanish, Other",lang4,Other
438,Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other",lang4,Korean
444,CAIR-LA,"event, flyers, Census swag bags provided to 125 individuals at ICNA weekly food pantry",Fullerton,"Born Outside of U.S., Limited English Speaking Ability, Children Under 5","Farsi, Arabic, Hindi, Spanish, Other",lang4,Spanish
459,OCAPICA,"curriculum, AAPI CBO coalition, meeting, nudgealert, phone_banking, AAPIphany, speaking_engagement, training_delivery, webinar",Garden Grove,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Khmer, Korean, Punjabi, Vietnamese",lang4,Punjabi
461,"Southland Integrated Services, Inc.","Facebook-Social media post, monthly community educational seminar, tutorial census form training",Garden Grove,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Vietnamese, Armenian, Spanish, Tagalog",lang4,Tagalog
466,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang4,Filipino
474,Orange County United Way,,Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Min Nan Chinese, Spanish",lang4,Spanish
484,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang4,Khmer
486,CAIR-LA,"Social media and email blast, Friday prayer annoucement, TEXTBANKING*, phone_banking, Social media and newsletter",Orange,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Armenian, Farsi, Filipino, Hindi, Spanish, Other",lang4,Filipino
488,CAP OC,"collateral, text banking, flyers, phone_banking",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Korean, Spanish, Tagalog, Vietnamese",lang4,Tagalog
511,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang4,Korean
535,AASCSC,nudgealert,Westminster,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Other",lang4,Other
541,Orange County United Way,event,Westminster,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Farsi, russian, Spanish, Vietnamese, Other",lang4,Vietnamese
568,AASCSC,booths,Costa Mesa,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Min Nan Chinese, Other",lang5,Other
574,Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other",lang5,Spanish
580,CAIR-LA,"event, flyers, Census swag bags provided to 125 individuals at ICNA weekly food pantry",Fullerton,"Born Outside of U.S., Limited English Speaking Ability, Children Under 5","Farsi, Arabic, Hindi, Spanish, Other",lang5,Other
595,OCAPICA,"curriculum, AAPI CBO coalition, meeting, nudgealert, phone_banking, AAPIphany, speaking_engagement, training_delivery, webinar",Garden Grove,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Khmer, Korean, Punjabi, Vietnamese",lang5,Vietnamese
602,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang5,Japanese
620,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang5,Korean
622,CAIR-LA,"Social media and email blast, Friday prayer annoucement, TEXTBANKING*, phone_banking, Social media and newsletter",Orange,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Armenian, Farsi, Filipino, Hindi, Spanish, Other",lang5,Hindi
624,CAP OC,"collateral, text banking, flyers, phone_banking",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Korean, Spanish, Tagalog, Vietnamese",lang5,Vietnamese
647,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang5,Mandarin
677,Orange County United Way,event,Westminster,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Farsi, russian, Spanish, Vietnamese, Other",lang5,Other
710,Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other",lang6,Vietnamese
738,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang6,Korean
756,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang6,Chinese
758,CAIR-LA,"Social media and email blast, Friday prayer annoucement, TEXTBANKING*, phone_banking, Social media and newsletter",Orange,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Armenian, Farsi, Filipino, Hindi, Spanish, Other",lang6,Spanish
783,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang6,Spanish
846,Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other",lang7,Other
874,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang7,Mandarin
892,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang7,Mandarin
894,CAIR-LA,"Social media and email blast, Friday prayer annoucement, TEXTBANKING*, phone_banking, Social media and newsletter",Orange,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Armenian, Farsi, Filipino, Hindi, Spanish, Other",lang7,Other
919,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang7,Tagalog
1010,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang8,Min Nan Chinese
1028,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang8,Min Nan Chinese
1055,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang8,Vietnamese
1146,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang9,Punjabi
1164,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang9,Tagalog
1191,AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other",lang9,Other
1282,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang10,Spanish
1300,AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other",lang10,Other
1418,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang11,Tagalog
1554,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang12,Telugu
1690,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang13,Thai
1826,AASCSC,"event, meeting, social_media, Film PSA - Chinese  Cantonese, Film PSA -  Taiwanese, Film PSA - Chinese Mandarin",Irvine,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Cantonese, Chinese, Filipino, Japanese, Korean, Mandarin, Min Nan Chinese, Punjabi, Spanish, Tagalog, Telugu, Thai, Vietnamese. Other",lang14,Vietnamese. Other
